hshd_id,shabit,net_spend_amt,product
8614328969,Premium Loyal,0.99,GREETING CARDS: CREPE
8614328969,Premium Loyal,0.99,GREETING CARDS: CREPE
3479082131,Premium Loyal,1.8900000000000001,GREETING CARDS: CREPE
3479082131,Premium Loyal,1.8900000000000001,GREETING CARDS: CREPE
3479082131,Premium Loyal,1.8900000000000001,GREETING CARDS: CREPE
3479082131,Premium Loyal,1.8900000000000001,GREETING CARDS: CREPE
5003651017,Uncommitted,1.8900000000000001,GREETING CARDS: CREPE
5003651017,Uncommitted,1.8900000000000001,GREETING CARDS: CREPE
5003651017,Uncommitted,1.8900000000000001,GREETING CARDS: CREPE
8614328969,Premium Loyal,1.49,GREETING CARDS: BALLOONS
3620764827,Potential,2.19,GREETING CARDS: BALLOONS
3473889885,Potential,2.5100000000000002,GREETING CARDS: BALLOONS
3620955177,Premium Loyal,2.79,GREETING CARDS: BALLOONS
3481553601,Premium Loyal,2.79,GREETING CARDS: BALLOONS
3467455537,Premium Loyal,2.79,GREETING CARDS: BALLOONS
3474140877,Valuable,2.79,GREETING CARDS: BALLOONS
3474140877,Valuable,2.79,GREETING CARDS: BALLOONS
3474140877,Valuable,2.79,GREETING CARDS: BALLOONS
3616793589,Valuable,2.99,GREETING CARDS: BALLOONS
3479082131,Premium Loyal,9.98,GREETING CARDS: BALLOONS
5010079247,Valuable,0.29,GREETING CARDS: POSTCARD
3627700191,Potential,3.79,GREETING CARDS: RPG ED CARD
3572638747,Premium Loyal,3.79,GREETING CARDS: RPG ED CARD
4999039915,Potential,3.79,GREETING CARDS: RPG ED CARD
3692487427,Potential,3.69,GREETING CARDS: AG GRAD CARD
3477494919,Premium Loyal,4.69,GREETING CARDS: AG GRAD CARD
3470388469,Premium Loyal,7.38,GREETING CARDS: AG GRAD CARD
3636369665,Potential,1.49,GREETING CARDS: AM GR ED BOW
3473474671,Premium Loyal,1.49,GREETING CARDS: AM GR ED BOW
3642264821,Uncommitted,1.99,GREETING CARDS: AM GR ED BOW
8614328969,Premium Loyal,5.95,GREETING CARDS: PAPYRUS CARD
3805064887,Premium Loyal,7.95,GREETING CARDS: PAPYRUS CARD
3793560515,Potential,8.950000000000001,GREETING CARDS: PAPYRUS CARD
8614328969,Premium Loyal,8.950000000000001,GREETING CARDS: PAPYRUS CARD
3495729013,Valuable,4.95,GREETING CARDS: PAPYRUS CARD
5003500873,Potential,3.99,GREETING CARDS: AM GR ED CARD
3472051457,Valuable,4.99,GREETING CARDS: AM GR ED CARD
3468912669,Valuable,4.99,GREETING CARDS: AM GR ED CARD
3618660437,Uncommitted,4.99,GREETING CARDS: AM GR ED CARD
3479099907,Premium Loyal,4.99,GREETING CARDS: AM GR ED CARD
3481217747,Potential,4.99,GREETING CARDS: AM GR ED CARD
3467383329,Premium Loyal,4.99,GREETING CARDS: AM GR ED CARD
5003253151,Valuable,4.99,GREETING CARDS: AM GR ED CARD
3473896715,Valuable,4.99,GREETING CARDS: AM GR ED CARD
3488585915,Premium Loyal,4.99,GREETING CARDS: AM GR ED CARD
4999518149,Potential,4.99,GREETING CARDS: AM GR ED CARD
4999167387,Potential,4.99,GREETING CARDS: AM GR ED CARD
3473889885,Potential,2.06,GREETING CARDS: DESSERT PLATE
3705342205,Premium Loyal,3.69,GREETING CARDS: EVERYDAY CARD
3813729813,Premium Loyal,7.95,GREETING CARDS: HMK CARD BABY
3625940483,Valuable,2.99,GREETING CARDS: HMK CARD CARE
3545737755,Valuable,2,GREETING CARDS: HMK CARD FDAY
3483564061,Uncommitted,5.99,GREETING CARDS: HMK CARD FDAY
3440973323,Potential,4.59,GREETING CARDS: HMK CARD FDAY
3440973323,Potential,4.99,GREETING CARDS: HMK CARD FDAY
3580144061,Valuable,2,GREETING CARDS: HMK CARD GRAD
3607912117,Valuable,4.29,GREETING CARDS: HMK CARD GRAD
3790968593,Valuable,2,GREETING CARDS: HMK CARD GRAD
3417476981,Valuable,2.29,GREETING CARDS: HMK CARD GRAD
3791908445,Premium Loyal,3.59,GREETING CARDS: HMK CARD GRAD
3799816415,Potential,4.29,GREETING CARDS: HMK CARD GRAD
3748470897,Premium Loyal,2,GREETING CARDS: HMK CARD GRAD
3479847725,Premium Loyal,2,GREETING CARDS: HMK CARD GRAD
3826562059,Premium Loyal,3.99,GREETING CARDS: HMK CARD GRAD
3486044239,Premium Loyal,4.99,GREETING CARDS: HMK CARD GRAD
3826562059,Premium Loyal,7.98,GREETING CARDS: HMK CARD GRAD
3430066933,Potential,2.59,GREETING CARDS: HMK CARD GRAD
3430412559,Premium Loyal,3.29,GREETING CARDS: HMK CARD GRAD
3597155385,Uncommitted,2.99,GREETING CARDS: HMK CARD LOVE
3625940483,Valuable,2.99,GREETING CARDS: HMK CARD LOVE
3625940483,Valuable,2.99,GREETING CARDS: HMK CARD LOVE
5009898227,Uncommitted,6.95,GREETING CARDS: HMK CARD LOVE
5009898227,Uncommitted,6.99,GREETING CARDS: HMK CARD LOVE
3382607975,Premium Loyal,6.99,GREETING CARDS: HMK CARD LOVE
3563453527,Premium Loyal,4.99,GREETING CARDS: HMK CARD MDAY
3635186541,Potential,4.99,GREETING CARDS: HMK CARD MDAY
3791460213,Premium Loyal,4.99,GREETING CARDS: HMK CARD MDAY
3785235743,Uncommitted,5.99,GREETING CARDS: HMK CARD MDAY
3720293979,Premium Loyal,7.99,GREETING CARDS: HMK CARD MDAY
8388029733,Premium Loyal,4.99,GREETING CARDS: HMK CARD MDAY
3636123485,Potential,5.99,GREETING CARDS: HMK CARD MDAY
3807541629,Potential,8.99,GREETING CARDS: HMK CARD MDAY
3501574613,Uncommitted,8.99,GREETING CARDS: HMK CARD MDAY
3377285583,Premium Loyal,4.99,GREETING CARDS: HMK CARD MDAY
3623586505,Premium Loyal,6.99,GREETING CARDS: HMK CARD MDAY
3436321189,Premium Loyal,4.99,GREETING CARDS: HMK CARD MDAY
5304740381,Premium Loyal,4.99,GREETING CARDS: HMK CARD MDAY
3436321189,Premium Loyal,7.99,GREETING CARDS: HMK CARD MDAY
3421682301,Valuable,8.99,GREETING CARDS: HMK CARD MDAY
3572638747,Premium Loyal,3.49,GREETING CARDS: RPG EVDY CARD
3515541867,Uncommitted,2.49,GREETING CARDS: AG EASTER CARD
3515541867,Uncommitted,2.99,GREETING CARDS: AG EASTER CARD
3646744305,Premium Loyal,2.99,GREETING CARDS: AG EASTER CARD
3646744305,Premium Loyal,2.99,GREETING CARDS: AG EASTER CARD
3475794219,Premium Loyal,3.69,GREETING CARDS: AG EASTER CARD
3470794787,Premium Loyal,3.99,GREETING CARDS: AG EASTER CARD
3604180445,Premium Loyal,4.69,GREETING CARDS: AG EASTER CARD
3465209031,Premium Loyal,8.99,GREETING CARDS: AG ED INV CARD
3747202391,Premium Loyal,4.99,GREETING CARDS: AG-BLANK NOTES
5177800087,Valuable,2,GREETING CARDS: HMK CARD ADMIN
5177800087,Valuable,2,GREETING CARDS: HMK CARD ADMIN
3589079413,Potential,2,GREETING CARDS: HMK CARD ADMIN
3484634557,Potential,3.99,GREETING CARDS: HMK CARD ADMIN
3411332823,Premium Loyal,3.49,GREETING CARDS: HMK CARD ADMIN
3832185751,Uncommitted,14.99,GREETING CARDS: HMK PLUSH LAMB
4999645337,Premium Loyal,0.99,GREETING CARDS: STADIUM CUP LC
3519349591,Premium Loyal,5.59,NF SHORTENING AND OIL: STO CANOLA OIL
3479082131,Premium Loyal,3.49,GREETING CARDS: A G BANNER 2.59
3473511659,Valuable,8.99,GREETING CARDS: AG  MOTHERS DAY
3467724123,Valuable,8.99,GREETING CARDS: AG  MOTHERS DAY
3479099907,Premium Loyal,8.99,GREETING CARDS: AG  MOTHERS DAY
3575589649,Premium Loyal,8.99,GREETING CARDS: AG  MOTHERS DAY
3577040951,Premium Loyal,8.99,GREETING CARDS: AG  MOTHERS DAY
3465971371,Premium Loyal,5.99,GREETING CARDS: AG MOM DAY CARD
3604180445,Premium Loyal,5.99,GREETING CARDS: AG MOM DAY CARD
3470794787,Premium Loyal,5.99,GREETING CARDS: AG MOM DAY CARD
3474081369,Valuable,4.24,GREETING CARDS: AM GR EVDY CARD
5003500873,Potential,4.69,GREETING CARDS: AM GR EVDY CARD
3637454117,Uncommitted,15,GREETING CARDS: BULK BLANK NOTE
3477340463,Potential,4.99,GREETING CARDS: EASTER JUVENILE
3435490921,Potential,3.99,GREETING CARDS: HMK CARD COMMUN
3791586691,Valuable,2,GREETING CARDS: HMK CARD EASTER
3774395605,Valuable,2,GREETING CARDS: HMK CARD EASTER
8614328969,Premium Loyal,2,GREETING CARDS: HMK CARD EASTER
8614328969,Premium Loyal,2,GREETING CARDS: HMK CARD EASTER
8614328969,Premium Loyal,3.99,GREETING CARDS: HMK CARD EASTER
3605075165,Premium Loyal,0.99,GREETING CARDS: HMK CARD EASTER
3605075165,Premium Loyal,0.99,GREETING CARDS: HMK CARD EASTER
6246277509,Potential,2,GREETING CARDS: HMK CARD EASTER
3799519479,Valuable,4.59,GREETING CARDS: HMK CARD EASTER
5628979711,Valuable,0.99,GREETING CARDS: HMK CARD EASTER
3819614239,Premium Loyal,0.99,GREETING CARDS: HMK CARD EASTER
3481727831,Premium Loyal,4,GREETING CARDS: HMK CARD EASTER
3819614239,Premium Loyal,1.5,GREETING CARDS: HMK CARD EASTER
3417188401,Premium Loyal,3,GREETING CARDS: HMK CARD EASTER
3395789953,Premium Loyal,1.5,GREETING CARDS: HMK CARD EASTER
3832185751,Uncommitted,3.59,GREETING CARDS: HMK CARD EASTER
3630464401,Premium Loyal,0.49,GREETING CARDS: HMK CARD FRIEND
3793889863,Valuable,3.49,GREETING CARDS: HMK CARD FRIEND
3625940483,Valuable,1.99,GREETING CARDS: HMK CARD THANKS
3807522447,Premium Loyal,2.99,GREETING CARDS: HMK CARD THANKS
3804227155,Valuable,4.49,GREETING CARDS: HMK CARD THANKS
3788518331,Premium Loyal,1.99,NF SHORTENING AND OIL: NUTV SHORTENING
6226243525,Premium Loyal,6.78,PASTA & PIZZA SAUCE: PRSL ROSE SAUCE
3795297945,Potential,3.99,GREETING CARDS: RPG EASTER CARD
8614328969,Premium Loyal,1.09,GREETING CARDS: A G BRTHDAY CNDL
5003245865,Premium Loyal,5.49,GREETING CARDS: AG ED INVEN CARD
3636369665,Potential,5.49,GREETING CARDS: AG ED INVEN CARD
3475850373,Valuable,1.99,GREETING CARDS: AG EVERYDAY CARD
5003300615,Potential,1.99,GREETING CARDS: AG EVERYDAY CARD
3575589649,Premium Loyal,1.99,GREETING CARDS: AG EVERYDAY CARD
3694743885,Premium Loyal,1.99,GREETING CARDS: AG EVERYDAY CARD
5003250755,Uncommitted,1.99,GREETING CARDS: AG EVERYDAY CARD
3604180445,Premium Loyal,3.69,GREETING CARDS: AG EVERYDAY CARD
3470794787,Premium Loyal,3.69,GREETING CARDS: AG EVERYDAY CARD
3467455537,Premium Loyal,3.98,GREETING CARDS: AG EVERYDAY CARD
3475013783,Premium Loyal,3.99,GREETING CARDS: AG EVERYDAY CARD
3454167223,Premium Loyal,4.24,GREETING CARDS: AG EVERYDAY CARD
4998928909,Uncommitted,4.49,GREETING CARDS: AG EVERYDAY CARD
3495729013,Valuable,4.69,GREETING CARDS: AG EVERYDAY CARD
3480632679,Premium Loyal,4.69,GREETING CARDS: AG EVERYDAY CARD
3475013783,Premium Loyal,4.69,GREETING CARDS: AG EVERYDAY CARD
3473998695,Valuable,4.69,GREETING CARDS: AG EVERYDAY CARD
3783890463,Uncommitted,4.69,GREETING CARDS: AG EVERYDAY CARD
3472859209,Potential,4.69,GREETING CARDS: AG EVERYDAY CARD
3513958515,Uncommitted,4.69,GREETING CARDS: AG EVERYDAY CARD
5003454691,Premium Loyal,4.69,GREETING CARDS: AG EVERYDAY CARD
3646744305,Premium Loyal,4.99,GREETING CARDS: AG EVERYDAY CARD
3620982763,Potential,4.99,GREETING CARDS: AG EVERYDAY CARD
3470794787,Premium Loyal,4.99,GREETING CARDS: AG EVERYDAY CARD
4998928909,Uncommitted,5.12,GREETING CARDS: AG EVERYDAY CARD
5003500873,Potential,5.12,GREETING CARDS: AG EVERYDAY CARD
3705342205,Premium Loyal,5.69,GREETING CARDS: AG EVERYDAY CARD
3674494847,Potential,5.69,GREETING CARDS: AG EVERYDAY CARD
3471432223,Premium Loyal,5.69,GREETING CARDS: AG EVERYDAY CARD
3471370921,Valuable,5.84,GREETING CARDS: AG EVERYDAY CARD
3472053493,Premium Loyal,5.99,GREETING CARDS: AG EVERYDAY CARD
3477312569,Premium Loyal,5.99,GREETING CARDS: AG EVERYDAY CARD
3569700837,Potential,5.99,GREETING CARDS: AG EVERYDAY CARD
3472051457,Valuable,6.49,GREETING CARDS: AG EVERYDAY CARD
4999113725,Premium Loyal,6.49,GREETING CARDS: AG EVERYDAY CARD
4999167387,Potential,3.79,GREETING CARDS: CARDS RPG FATHER
4999167387,Potential,3.79,GREETING CARDS: CARDS RPG FATHER
4999167387,Potential,3.99,GREETING CARDS: CARDS RPG FATHER
6114006715,Premium Loyal,3.39,GREETING CARDS: CARDS RPG MOTHER
3468912669,Valuable,4.59,GREETING CARDS: CARDS RPG MOTHER
3783890463,Uncommitted,2.15,GREETING CARDS: EASTER L/NAPKINS
3727499445,Premium Loyal,2.39,GREETING CARDS: EASTER L/NAPKINS
3517478237,Valuable,2.99,GREETING CARDS: HMK CARD ANNIVER
3517478237,Valuable,2.99,GREETING CARDS: HMK CARD ANNIVER
5389385769,Potential,3.99,GREETING CARDS: HMK CARD ANNIVER
3769035275,Premium Loyal,4.99,GREETING CARDS: HMK CARD ANNIVER
3440922073,Valuable,3.99,GREETING CARDS: HMK CARD ANNIVER
3483837947,Premium Loyal,3.99,GREETING CARDS: HMK CARD ANNIVER
3593414549,Uncommitted,7.95,GREETING CARDS: HMK CARD ANNIVER
3517478237,Valuable,0.99,GREETING CARDS: HMK CARD BRTHDAY
3795297945,Potential,2,GREETING CARDS: HMK CARD BRTHDAY
3795294413,Potential,2,GREETING CARDS: HMK CARD BRTHDAY
3805064887,Premium Loyal,2,GREETING CARDS: HMK CARD BRTHDAY
3517478237,Valuable,2.99,GREETING CARDS: HMK CARD BRTHDAY
4890906461,Premium Loyal,2.99,GREETING CARDS: HMK CARD BRTHDAY
3517478237,Valuable,2.99,GREETING CARDS: HMK CARD BRTHDAY
3642950037,Premium Loyal,2.99,GREETING CARDS: HMK CARD BRTHDAY
4857747787,Potential,2.99,GREETING CARDS: HMK CARD BRTHDAY
3625940483,Valuable,2.99,GREETING CARDS: HMK CARD BRTHDAY
